session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,7h4f7nhb,1,start,Start,1684151662,3,1,False
1,1,7h4f7nhb,2,dictator,Introduction,1684151663,1,1,False
2,1,58mp2shv,1,start,Start,1684152058,2,2,False
2,1,58mp2shv,2,dictator,Introduction,1684152060,2,4,False
2,2,h9deh7vd,1,start,Start,1684152134,78,2,False
2,2,h9deh7vd,2,dictator,Introduction,1684152135,1,4,False
3,2,pwm92rv7,1,start,Start,1684252183,5,3,False
3,2,pwm92rv7,2,dictator,Introduction,1684252185,2,7,False
3,3,c6yv70yw,1,start,Start,1684252187,9,3,False
3,3,c6yv70yw,2,dictator,Introduction,1684252189,2,7,False
3,3,c6yv70yw,3,dictator,Offer,1684255143,2954,7,False
3,3,c6yv70yw,4,dictator,ResultsWaitPage,1684255143,0,7,False
3,3,c6yv70yw,5,dictator,Results,1684255144,1,7,False
3,3,c6yv70yw,6,dictator,Introduction,1684255146,2,8,False
3,3,c6yv70yw,7,dictator,Offer,1684255148,2,8,False
3,3,c6yv70yw,8,dictator,ResultsWaitPage,1684255156,8,8,False
3,3,c6yv70yw,9,dictator,Results,1684255165,9,8,False
3,3,c6yv70yw,10,dictator,Introduction,1684255166,1,9,False
3,3,c6yv70yw,11,dictator,Offer,1684255168,2,9,False
3,3,c6yv70yw,12,dictator,ResultsWaitPage,1684255169,1,9,False
3,3,c6yv70yw,13,dictator,Results,1684255171,2,9,False
3,3,c6yv70yw,14,chatapp,chat,1684255186,15,3,False
3,3,c6yv70yw,15,survey,CognitiveReflectionTest,1684255359,173,3,False
3,3,c6yv70yw,16,survey,Offer,1684255364,5,3,False
3,3,c6yv70yw,17,survey,Demographics,1684255409,45,3,False
3,4,fo2mv7pu,1,start,Start,1684252192,13,3,False
3,4,fo2mv7pu,2,dictator,Introduction,1684252194,2,7,False
3,4,fo2mv7pu,4,dictator,ResultsWaitPage,1684255143,2949,7,False
3,4,fo2mv7pu,5,dictator,Results,1684255155,12,7,False
3,4,fo2mv7pu,6,dictator,Introduction,1684255156,1,8,False
3,4,fo2mv7pu,8,dictator,ResultsWaitPage,1684255156,0,8,False
3,4,fo2mv7pu,9,dictator,Results,1684255158,2,8,False
3,4,fo2mv7pu,10,dictator,Introduction,1684255159,1,9,False
3,4,fo2mv7pu,12,dictator,ResultsWaitPage,1684255169,10,9,False
3,4,fo2mv7pu,13,dictator,Results,1684255176,7,9,False
3,4,fo2mv7pu,14,chatapp,chat,1684255189,13,3,False
3,4,fo2mv7pu,15,survey,CognitiveReflectionTest,1684255397,208,3,False
3,4,fo2mv7pu,16,survey,Offer,1684255398,1,3,False
3,4,fo2mv7pu,17,survey,Demographics,1684255405,7,3,False
