session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,giqwyeh7,1,start,Start,1683965273,9,1,False
1,1,giqwyeh7,2,dictator,Introduction,1683965284,11,1,False
1,1,giqwyeh7,3,dictator,Offer,1683965286,2,1,False
1,1,giqwyeh7,4,dictator,ResultsWaitPage,1683965289,3,1,False
1,1,giqwyeh7,5,dictator,Results,1683965293,4,1,False
1,1,giqwyeh7,6,dictator,Introduction,1683965295,2,2,False
1,1,giqwyeh7,7,dictator,Offer,1683965297,2,2,False
1,1,giqwyeh7,8,dictator,ResultsWaitPage,1683965315,18,2,False
1,1,giqwyeh7,9,dictator,Results,1683965333,18,2,False
1,1,giqwyeh7,10,dictator,Introduction,1683965335,2,3,False
1,1,giqwyeh7,11,dictator,Offer,1683965338,3,3,False
1,1,giqwyeh7,12,dictator,ResultsWaitPage,1683965341,3,3,False
1,1,giqwyeh7,13,dictator,Results,1683965350,9,3,False
1,1,giqwyeh7,14,chatapp,chat,1683965373,23,1,False
1,2,ibauvcv6,1,start,Start,1683965274,10,1,False
1,2,ibauvcv6,2,dictator,Introduction,1683965288,14,1,False
1,2,ibauvcv6,4,dictator,ResultsWaitPage,1683965289,1,1,False
1,2,ibauvcv6,5,dictator,Results,1683965290,1,1,False
1,2,ibauvcv6,6,dictator,Introduction,1683965315,25,2,False
1,2,ibauvcv6,8,dictator,ResultsWaitPage,1683965315,0,2,False
1,2,ibauvcv6,9,dictator,Results,1683965331,16,2,False
1,2,ibauvcv6,10,dictator,Introduction,1683965340,9,3,False
1,2,ibauvcv6,12,dictator,ResultsWaitPage,1683965341,1,3,False
1,2,ibauvcv6,13,dictator,Results,1683965352,11,3,False
1,2,ibauvcv6,14,chatapp,chat,1683965371,19,1,False
1,2,ibauvcv6,15,survey,CognitiveReflectionTest,1683965382,11,1,False
1,2,ibauvcv6,16,survey,Offer,1683965397,15,1,False
1,2,ibauvcv6,17,survey,Demographics,1683965402,5,1,False
1,3,mqaatrt4,1,start,Start,1683965275,10,1,False
1,3,mqaatrt4,2,dictator,Introduction,1683965292,17,1,False
1,3,mqaatrt4,3,dictator,Offer,1683965319,27,1,False
1,5,xb5oapsv,1,start,Start,1683965277,10,1,False
1,5,xb5oapsv,2,dictator,Introduction,1683965278,1,1,False
1,5,xb5oapsv,3,dictator,Offer,1683965301,23,1,False
1,5,xb5oapsv,4,dictator,ResultsWaitPage,1683965303,2,1,False
1,5,xb5oapsv,5,dictator,Results,1683965320,17,1,False
1,5,xb5oapsv,6,dictator,Introduction,1683965322,2,2,False
1,5,xb5oapsv,7,dictator,Offer,1683965324,2,2,False
1,5,xb5oapsv,8,dictator,ResultsWaitPage,1683965325,1,2,False
1,5,xb5oapsv,9,dictator,Results,1683965346,21,2,False
1,5,xb5oapsv,10,dictator,Introduction,1683965347,1,3,False
1,5,xb5oapsv,11,dictator,Offer,1683965386,39,3,False
1,5,xb5oapsv,12,dictator,ResultsWaitPage,1683965386,0,3,False
1,5,xb5oapsv,13,dictator,Results,1683965388,2,3,False
1,5,xb5oapsv,14,chatapp,chat,1683965458,70,1,False
1,5,xb5oapsv,15,survey,CognitiveReflectionTest,1683965464,6,1,False
1,5,xb5oapsv,16,survey,Offer,1683965465,1,1,False
1,5,xb5oapsv,17,survey,Demographics,1683965472,7,1,False
1,6,oh3pjgtd,1,start,Start,1683965280,13,1,False
1,6,oh3pjgtd,2,dictator,Introduction,1683965303,23,1,False
1,6,oh3pjgtd,4,dictator,ResultsWaitPage,1683965303,0,1,False
1,6,oh3pjgtd,5,dictator,Results,1683965304,1,1,False
1,6,oh3pjgtd,6,dictator,Introduction,1683965306,2,2,False
1,6,oh3pjgtd,8,dictator,ResultsWaitPage,1683965325,19,2,False
1,6,oh3pjgtd,9,dictator,Results,1683965326,1,2,False
1,6,oh3pjgtd,10,dictator,Introduction,1683965329,3,3,False
1,6,oh3pjgtd,12,dictator,ResultsWaitPage,1683965386,57,3,False
1,6,oh3pjgtd,13,dictator,Results,1683965393,7,3,False
1,6,oh3pjgtd,14,chatapp,chat,1683965408,15,1,False
1,6,oh3pjgtd,15,survey,CognitiveReflectionTest,1683965414,6,1,False
1,6,oh3pjgtd,16,survey,Offer,1683965416,2,1,False
1,8,u3jdbpav,1,start,Start,1683965310,40,1,False
2,1,pwg27fum,1,start,Start,1683965496,4,2,False
2,1,pwg27fum,2,dictator,Introduction,1683965503,7,4,True
2,1,pwg27fum,3,dictator,Offer,1683965506,3,4,False
2,1,pwg27fum,4,dictator,ResultsWaitPage,1683965506,0,4,False
