participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,start.1.player.id_in_group,start.1.player.payoff,start.1.group.id_in_subsession,start.1.subsession.round_number,dictator.1.player.id_in_group,dictator.1.player.payoff,dictator.1.group.id_in_subsession,dictator.1.group.kept,dictator.1.subsession.round_number,dictator.2.player.id_in_group,dictator.2.player.payoff,dictator.2.group.id_in_subsession,dictator.2.group.kept,dictator.2.subsession.round_number,dictator.3.player.id_in_group,dictator.3.player.payoff,dictator.3.group.id_in_subsession,dictator.3.group.kept,dictator.3.subsession.round_number,chatapp.1.player.id_in_group,chatapp.1.player.payoff,chatapp.1.group.id_in_subsession,chatapp.1.subsession.round_number,survey.1.player.id_in_group,survey.1.player.age,survey.1.player.gender,survey.1.player.crt_bat,survey.1.player.crt_widget,survey.1.player.crt_lake,survey.1.player.payoff,survey.1.group.id_in_subsession,survey.1.subsession.round_number
1,giqwyeh7,Person1,0,15,17,survey,CognitiveReflectionTest,127.0.0.1,2023-05-13 08:07:44.394673+00:00,1,,,134,134.00,mugt25jb,,,,,,0,1.0,0.00,1,0,1,1,1,22,1,22,1,1,22,1,22,2,1,90,1,90,3,1,0,1,1,1,,,,,,0,1,1
2,ibauvcv6,Person2,0,18,17,survey,Demographics,127.0.0.1,2023-05-13 08:07:44.890091+00:00,1,,,166,166.00,mugt25jb,,,,,,0,1.0,0.00,2,0,1,1,2,78,1,22,1,2,78,1,22,2,2,10,1,90,3,2,0,1,1,2,90,Male,1,5,2,0,1,1
3,mqaatrt4,Person3,0,4,17,dictator,ResultsWaitPage,127.0.0.1,2023-05-13 08:07:45.825341+00:00,1,,,0,0.00,mugt25jb,,,,,,0,1.0,0.00,3,0,1,1,1,0,2,12,1,1,0,2,,2,1,0,2,,3,1,0,2,1,3,,,,,,0,1,1
4,k8tihf8g,Person4,0,1,17,start,Start,127.0.0.1,2023-05-13 08:07:46.509581+00:00,1,,,0,0.00,mugt25jb,,,,,,0,1.0,0.00,4,0,1,1,2,0,2,12,1,2,0,2,,2,2,0,2,,3,2,0,2,1,4,,,,,,0,1,1
5,xb5oapsv,Person5,0,18,17,survey,Demographics,127.0.0.1,2023-05-13 08:07:47.117394+00:00,1,,,189,189.00,mugt25jb,,,,,,0,1.0,0.00,5,0,1,1,1,87,3,87,1,1,22,3,22,2,1,80,3,80,3,1,0,3,1,5,39,Female,42,1,1,0,1,1
6,oh3pjgtd,Person6,0,17,17,survey,Demographics,127.0.0.1,2023-05-13 08:07:47.829122+00:00,1,,,111,111.00,mugt25jb,,,,,,0,1.0,0.00,6,0,1,1,2,13,3,87,1,2,78,3,22,2,2,20,3,80,3,2,0,3,1,6,,,70,2,10,0,1,1
7,744avqxx,Person7,0,1,17,start,Start,127.0.0.1,2023-05-13 08:07:48.984720+00:00,1,,,0,0.00,mugt25jb,,,,,,0,1.0,0.00,7,0,1,1,1,0,4,,1,1,0,4,,2,1,0,4,,3,1,0,4,1,7,,,,,,0,1,1
8,u3jdbpav,Person8,0,2,17,dictator,Introduction,127.0.0.1,2023-05-13 08:07:50.258132+00:00,1,,,0,0.00,mugt25jb,,,,,,0,1.0,0.00,8,0,1,1,2,0,4,,1,2,0,4,,2,2,0,4,,3,2,0,4,1,8,,,,,,0,1,1
9,k9v23vx9,,0,0,17,,,,,0,,,0,0.00,mugt25jb,,,,,,0,1.0,0.00,9,0,1,1,1,0,5,,1,1,0,5,,2,1,0,5,,3,1,0,5,1,9,,,,,,0,1,1
10,1a5k98k4,,0,0,17,,,,,0,,,0,0.00,mugt25jb,,,,,,0,1.0,0.00,10,0,1,1,2,0,5,,1,2,0,5,,2,2,0,5,,3,2,0,5,1,10,,,,,,0,1,1
1,pwg27fum,,0,18,17,survey,Demographics,127.0.0.1,2023-05-13 08:11:32.834582+00:00,1,,,155,155.00,1d33zgt8,,,,,,0,1.0,0.00,1,0,1,1,1,55,1,55,1,1,50,1,50,2,1,50,1,50,3,1,0,1,1,1,90,Male,1,3,76,0,1,1
2,trua2ysc,,0,18,17,survey,Demographics,127.0.0.1,2023-05-13 08:11:33.343669+00:00,1,,,145,145.00,1d33zgt8,,,,,,0,1.0,0.00,2,0,1,1,2,45,1,55,1,2,50,1,50,2,2,50,1,50,3,2,0,1,1,2,33,Male,3,7,1,0,1,1
3,gab9azw4,,0,7,17,dictator,Offer,127.0.0.1,2023-05-13 08:11:33.860623+00:00,1,,,12,12.00,1d33zgt8,,,,,,0,1.0,0.00,3,0,1,1,1,12,2,12,1,1,0,2,,2,1,0,2,,3,1,0,2,1,3,,,,,,0,1,1
4,6ox6u8dx,,0,6,17,dictator,Introduction,127.0.0.1,2023-05-13 08:11:34.419168+00:00,1,,,88,88.00,1d33zgt8,,,,,,0,1.0,0.00,4,0,1,1,2,88,2,12,1,2,0,2,,2,2,0,2,,3,2,0,2,1,4,,,,,,0,1,1
